image_name,angles,polygon_angles
stars-415.png,"[61.14433878028348, 79.4341267288685, 159.4887721203196, 85.06668054716593, 34.16053943339542, 4.206645652562806]","[101.04743143049691, 111.71908106260338, 112.4457199322349, 34.7877675746648, 167.9845815930443, 102.94950596092481, 76.36074275593325, 12.705169690097586]"
stars-1046.png,"[38.73128692029884, 72.54526351418205, 107.18856625778791, 104.89418602158054, 75.65302621566056, 46.13765335990985]","[57.144953537410224, 93.18696911363011, 144.41997500249704, 5.911947648543262, 18.255390306841562, 135.93223508600465, 10.351660026960358, 107.32518475220274]"
stars-1966.png,"[111.75382905029659, 15.690213762065202, 66.99646802946062, 70.24871522209727, 75.83293230078567, 14.835283840997665]","[109.19939905087242, 63.54363170366461, 162.3958886370119, 24.861080608451076, 92.6025622024998, 15.690213762065202, 49.14698047046205, 59.145795494102984]"
stars-1883.png,"[13.600934319678949, 51.72062778243756]","[5.811108484533088, 135.43785205314126, 98.07889568114932, 31.547847887458857]"
stars-2529.png,"[3.093392292120962, 38.67211737097098, 0.516155660680516, 105.76888932867861, 11.268961726312346]","[77.53616661909231, 119.08533576367785, 76.25379835846658, 87.12469925876329, 177.13546697079354, 1.8911547016851793, 0.9733783275208153]"
stars-1238.png,"[12.275125376988232, 147.51152380401794]","[81.02731482644813, 54.209083600581586, 147.51152380401794, 12.275125376988232]"
stars-320.png,"[93.79313971633151, 3.5864979130936465, 20.758115722183177, 5.341280949993777, 55.505597968179536, 53.919577871723604]","[116.71099638343239, 70.31560188961222, 128.27268049993916, 44.700721227016246, 144.60918898305994, 34.42063435707587, 44.748483707294746, 136.22169295256947]"
stars-1519.png,[26.4496419173128],"[82.24381061690129, 71.30654746578594, 26.4496419173128]"
stars-322.png,"[159.37630721941096, 45.812217582017134, 38.05452364125877, 81.71389062183476, 8.98071742705092]","[9.569728481551094, 136.1449989373502, 81.1944160007845, 45.38085445501462, 9.59338805606077, 139.50201655818083, 30.90459538575844]"
stars-2341.png,"[17.582218947475134, 46.74341671790999, 49.6766227824565, 38.792191982264995, 26.72210821709783, 14.203490352529196]","[36.050944965119136, 164.77041417382296, 71.2358948240002, 87.94274603705773, 29.62512021823708, 10.957370430227904, 22.285529788788786, 18.296960859676147]"
stars-996.png,"[17.709877902126003, 80.21024014003598, 5.559594890840388, 4.0263146315669, 91.76782705585607, 61.2273610435155]","[173.03741746149234, 24.861747210376656, 106.38069523629613, 41.79497501481959, 8.300087479789951, 9.252524035573494, 69.39373938616318, 70.3461759419467]"
stars-1341.png,[],[]
stars-2081.png,"[5.975204164314286, 15.830059952605765, 129.54179617849329, 87.3885632811785, 10.840518293922083, 33.81704560944306]","[20.7939002342889, 97.75375137976509, 69.10081167517835, 49.446839938875605, 63.535875443247, 108.06583586748081, 109.8996741453054, 78.4986145439668]"
stars-2367.png,"[144.57422788509183, 19.25340428461066, 144.6489527515912, 114.43384435533831, 69.09376422385927, 30.68223167969979]","[37.37780956693584, 144.57422788509183, 166.90015691773374, 11.14780563023862, 84.20202679920735, 114.43384435533831, 129.89262040472377, 31.471508440730606]"
stars-1987.png,"[39.27634741610462, 17.368930550632342, 54.048783777363056, 14.56756099553396, 96.33540952577971, 3.00435368116389]","[38.610107250921736, 85.49227624488104, 17.26249371221278, 29.619675281746552, 37.87164266210004, 25.275590154583686, 46.14853878425599, 16.998694032427725]"
stars-738.png,"[115.16375240046882, 27.85535070547774, 2.396680581625041, 24.26005644769944, 93.79474478663278, 30.43845813359618]","[14.888438868850926, 131.19479997659175, 38.50320167158282, 77.80315943615803, 24.274629963730835, 147.3000920365313, 30.656378689567905, 92.36908338323256]"
stars-1954.png,[11.449970377669619],"[155.82158288430696, 12.728446738023393, 11.449970377669619]"
stars-2246.png,"[42.382368577007774, 37.6981033928622, 120.1965526257634, 47.784471508763446, 110.17089264815651, 121.94812323512824]","[34.42083123182619, 122.39298542604138, 122.09472713234082, 81.09145620979163, 22.663089737781032, 55.12276855489867, 8.837250977603754, 68.948607315076]"
stars-342.png,"[15.16125473542705, 4.620192501512448, 41.48897648369235, 117.13395277675649, 72.57757984449596]","[3.0621557964612616, 125.21850294499704, 95.21866638316928, 33.06199235828905, 19.019306838000556, 1.401612667761324, 159.5790804942378]"
stars-1378.png,[],[]
stars-901.png,"[7.356700527998756, 91.08584297879939, 19.894944961193776, 59.3014142272601, 178.41020685608004]","[147.70983034136898, 114.09900475034647, 50.75070804725227, 47.44045686103228, 6.417222378397881, 157.76184921830608, 15.820928403296126]"
stars-1342.png,[],[]
stars-1421.png,"[63.93425532972347, 107.88603270547571, 14.486569160721372, 49.06602996812658, 45.52036702806946, 15.873696716488691]","[68.28618547787767, 105.03092188510053, 117.99693235968223, 68.68596027733959, 152.005147236566, 20.603099600260908, 122.35424240153012, 9.047805234775012]"
stars-1037.png,"[8.702549762450467, 144.17408480863332, 23.698360582096043, 76.34396535381026, 50.25858224563628]","[19.89770984318075, 66.68493352670791, 58.8293193410738, 27.75332402881487, 149.51026104129386, 27.17143093250018, 3.3183080262059788]"
stars-258.png,"[35.65535471791359, 166.7591503619356, 13.383015963669715]","[45.45930028703736, 112.21457458132562, 104.17252746335596, 98.15359766828105]"
stars-2257.png,"[79.4547470033557, 83.83303272977565, 29.210131928225486, 10.614623514732127]","[83.62111243307037, 60.66094714551217, 158.20003360505075, 13.91797402646822]"
stars-1993.png,"[26.811436799976946, 33.65092534140971, 35.58771902069527, 65.70867795168375]","[28.872388153992553, 137.00827366780436, 67.11620242588104, 41.01968308793075]"
stars-1617.png,"[9.553695513019367, 74.50704261096834]","[65.41585194178799, 160.72023767762727, 74.63717632869711, 59.226734051887625]"
stars-2086.png,"[90.76517359901345, 130.55875881056713, 68.15808579194831, 29.65593578570761, 119.02531089986942, 57.58659734248336]","[55.786394784728294, 69.2838805988372, 102.54595773243959, 22.5243176511259, 88.02683646478671, 52.98451135913247, 46.303240015682285, 11.260914910028056]"
stars-640.png,[],[]
stars-2579.png,"[28.70140613319828, 91.93222472072513, 5.082644524179206, 95.75461928551208, 56.56919219680228, 54.49202314743044]","[143.196194051047, 28.70140613319828, 91.93222472072513, 96.1701750950296, 153.61722799112562, 56.56919219680228, 54.49202314743044, 95.32155666464169]"
stars-528.png,"[18.51326750881261, 10.459909092929111]","[60.54771112561767, 111.39893045849882, 166.23921488820875, 21.814143527674744]"
stars-1773.png,"[46.12036765057323, 31.743510219037926, 45.0733203091338, 46.21758676298271, 40.98416168663817, 57.74239845915863]","[1.2448693791456193, 104.79796583676192, 55.80845927021469, 50.23437594569261, 120.12823359312408, 66.55799543326904, 35.44940900501997, 18.12082915483508]"
stars-2012.png,"[37.578149239576526, 77.53587363414164, 121.99169727984287]","[38.011470402695075, 160.90575024913406, 76.3982241357397, 46.496055710699274]"
stars-1393.png,"[11.284849503306479, 69.84553897179542]","[11.652264144935556, 124.84243809688896, 58.110142906945896, 55.08003104500751]"
stars-891.png,"[18.83843355798077, 29.80770192745841, 39.345841119283676, 0.8828055048575257, 58.988184477662756, 20.60521677839412]","[16.322618386797973, 136.44412553093585, 129.17867863109674, 23.588065286637104, 72.17939045992199, 15.70060316390351, 61.22564452059914, 26.654349103226338]"
stars-1965.png,"[0.41067334456476495, 31.403923950489812, 18.791276416523285, 66.83329075774589, 125.30730029548371, 103.15100098918575]","[144.8135479894865, 93.05869757409583, 97.67343199184035, 24.454322444577336, 152.661221278663, 90.78664368987297, 65.96717557475851, 4.092597985968602]"
stars-1977.png,"[31.09208817511835, 85.83773841319237, 85.89865336298263, 82.59896398768437, 27.024216977520606]","[61.98117641826195, 132.8781024094366, 104.89803914790946, 60.242682024392, 20.390823346114463, 85.83773841319237, 73.77143824069316]"
stars-699.png,"[117.6588809687388, 68.90003734870007, 99.57422788509183, 174.79284717963557, 123.78384122214104, 48.11637967015106]","[142.71788393744808, 117.6588809687388, 68.90003734870007, 30.723197745113055, 177.69621932793328, 123.78384122214104, 48.11637967015106, 10.403559779774572]"
stars-2132.png,"[14.608436742184251, 0.7393225494767636, 14.084061917801456, 47.89251986204585, 113.37770143267355, 110.16809304991122]","[146.8113248350681, 87.23142939934773, 94.5296443958422, 31.42760136974201, 134.5357888783428, 127.14958193523974, 66.6400713688272, 31.674557817590287]"
stars-2103.png,"[1.255090575024414, 121.42372015057812, 99.82403837220004, 31.17551898034505, 55.65390259993849, 126.11934084947977]","[70.84385934470095, 116.35713583434826, 157.6067315462824, 15.192273274668427, 135.63233115163376, 121.61443398587274, 78.27741807710291, 24.475816785390595]"
stars-483.png,"[23.480895887012963, 130.0457261049023, 10.29861392451638, 76.57004318559153, 66.0749700860792, 68.55136615168452]","[81.30805797476282, 103.21392637821869, 10.29861392451638, 32.20448232797226, 77.91633484373787, 32.046999702132105, 42.30584226828103, 3.563492873324829]"
stars-1279.png,"[53.903882738944404, 7.95337873978839, 97.94002373116298, 174.15001360663504, 120.82389729924834, 23.824260582895423]","[123.99056049693874, 32.859803898004735, 124.26267202619694, 32.587692368746566, 34.657013869032426, 67.06833452842379, 175.79977188143374, 74.07442348397755]"
stars-1062.png,"[57.95352114353795, 19.12069260386565]","[59.52575123213826, 140.0711232988613, 87.80464568303924, 72.59847978596122]"
stars-1704.png,"[23.341843052048393, 91.1374731800122, 32.83253258192728, 61.792383927270826, 35.11080732984155, 144.25171377976133]","[139.71723253471, 131.2638904468494, 14.854172122889826, 6.400830035029177, 31.534791905188285, 127.08368687572113, 64.65382405805317, 93.96465472285625]"
stars-2361.png,"[107.76082160949969, 54.43351847338623, 53.303169643830095, 103.60142893891262, 27.864715316198467]","[158.16943298784386, 26.650563704700645, 95.90684579823198, 35.61202348491123, 36.37105198385408, 91.93328353465694, 51.69566448148897]"
stars-487.png,"[176.43758844908731, 160.92822129426233, 64.6135348221266, 21.07690159408542]","[13.94395960563818, 176.43758844908731, 110.06131851326639, 52.432310330182816]"
stars-339.png,"[19.18580732591716, 58.50633070261922, 16.363234637990107, 10.177098775516445, 20.235758380915446]","[37.79976567500679, 69.50442087127551, 76.64163559757723, 30.662550948705057, 4.853930107975395, 163.4195280987914, 11.726541793233183]"
stars-2052.png,"[85.41993559495495, 0.7048742446200762, 24.99257971726806, 10.76782655984782, 67.61573797751043, 67.82564136977072]","[66.00036118418734, 92.6942842898561, 130.42298885283938, 70.88236567311716, 147.84817101098758, 158.51757267979934, 1.4524074619552183, 12.121809130767042]"
stars-007.png,"[12.195912846757901, 33.49618165486905, 1.0137506429580359, 6.638361918783278, 1.9182189381050418]","[89.15795774955386, 70.92991110600224, 174.56242437107016, 14.474555515513977, 56.61633390418693, 89.88748444094401, 33.49618165486905]"
stars-935.png,[],[]
stars-1640.png,"[133.33426948855654, 68.60607373905437, 86.91594988277411, 24.557543752176233, 166.30523592219615, 50.17698550066878]","[84.41529046227754, 66.02219266391715, 170.13775120111563, 39.424765672689716, 175.75284932575494, 127.19636579083549, 50.17698550066878, 6.873799382740728]"
stars-654.png,"[123.18255851133283, 119.44347546705211, 77.45308203487333, 0.07343388311267533, 3.648388084850773, 55.68910467185542]","[80.13419305691563, 91.00508600525419, 142.12501634890182, 46.73570458892839, 36.28509265193292, 119.44347546705211, 103.07912378006681, 52.64944433891824]"
stars-2521.png,"[138.26776388525008, 57.65120490607792, 29.530379406399767, 16.156811856691725, 4.549595861897185, 34.91747325730604]","[44.7078700103717, 138.26776388525008, 139.7888838763713, 37.23548222800692, 130.5573013494841, 29.106241257749275, 34.91747325730604, 66.5335868344288]"
stars-1841.png,"[50.53239304331603, 11.082977016400646, 149.2268474870688]","[90.93094013678785, 96.35557487426601, 92.32068863971814, 80.39279634922799]"
stars-165.png,"[3.957848305608484, 113.32409007942962, 18.2193884168263, 35.54185366628163, 144.9024882721534, 3.466850315715318]","[21.7999998573723, 96.35247379920798, 57.0947570770121, 17.457716864823603, 111.13884678419234, 63.52366479772081, 71.52125544357581, 113.81623297451107]"
stars-586.png,"[114.18951415402421, 5.137131928236395, 85.29579672275982, 17.695925116775424, 32.79466819742056, 52.07532357774234]","[66.74440718204951, 114.18951415402421, 5.137131928236395, 42.307975043738246, 137.7927023657133, 32.79466819742056, 52.07532357774234, 137.33730585912383]"
stars-011.png,"[53.26782857744593, 114.46507268254149, 10.197542576163656]","[39.883248907303724, 128.76889393809736, 101.40971217493417, 89.93814497966477]"
stars-630.png,[],[]
stars-2526.png,"[57.12524539953019, 27.742375875669335, 7.19671899764716, 105.84480154224298, 11.41010496944751, 0.8120942947180175]","[81.0308161369526, 63.54036427442483, 31.59201445037565, 14.101562587847917, 96.10880018869814, 12.097178093638467, 178.50083258109115, 73.29318913657227]"
stars-1792.png,"[10.337999023429456, 152.16566043955345, 95.85785174497896, 64.56490783362594, 31.534510041605575]","[84.42250101943532, 87.58648453284523, 83.35661629729363, 104.63439815042584, 41.71569877053918, 128.3747297206537, 9.909571508807165]"
stars-2480.png,"[156.31947440653317, 0.3357455304270647, 115.14858693840273, 50.03805957080289, 33.59431305175407, 66.11954775207418]","[82.23100071875085, 56.93385734354477, 114.81386924633132, 24.350988815964314, 15.54319439058949, 27.970960447177802, 14.426180139534369, 26.853946196122664]"
stars-2543.png,"[26.490915305042225, 13.062836134644169]","[102.2494852781832, 46.15202395528863, 140.89310677343036, 7.508402460041514]"
stars-1457.png,"[30.56918470004277, 127.91602026328611, 66.3963489422222, 0.47860352226917613, 162.04919197558704, 48.45672214523826]","[25.596635235558026, 106.69924423399362, 177.02953233265052, 44.733652863099046, 88.24243603719536, 129.37907282706436, 15.092469669744107, 56.22910645961308]"
stars-2426.png,"[21.140127652909154, 37.666648912068794, 21.601713147085675, 11.732462619033699, 67.23269009851965, 29.548045907194076]","[149.57486422793752, 66.48481825173936, 71.27437429668572, 72.66594322363741, 95.72072242289605, 31.58109263177614, 29.548045907194076, 97.7537691474781]"
stars-129.png,"[68.71165153125044, 72.68781886728493, 111.2344419704167, 54.3245412798119, 137.4666009485254, 7.622508757098091]","[64.61484493272638, 1.8955390260788376, 47.65426677929587, 15.065039127351616, 16.02372580051725, 84.75647536847086, 104.82258503622151, 4.042383867233326]"
stars-1454.png,"[107.74467162505692, 60.069381911804875, 12.040894166666542, 19.43898297528238, 66.30180844153217, 74.03160305238511]","[107.07015604503847, 103.25108381561198, 98.22113052463813, 51.45762961471143, 107.81825968038612, 3.6199511387916425, 81.5917543471384, 29.846456472039492]"
stars-1140.png,"[64.78568046844435, 69.90899617338205, 47.144187614263274, 33.686571322694334, 20.89769496941125]","[3.7997131283299805, 145.8964896620066, 129.10637966485763, 20.58982312547902, 5.776031317741127, 164.19595734251868, 10.028011339740164]"
stars-1898.png,"[27.170614423730928, 8.446213374268012, 30.93228686505516, 153.22335273292956]","[34.782334967062, 96.4531350213072, 153.22335273292956, 21.987882744560324]"
stars-2540.png,"[44.7441418239435, 19.368402349586027, 82.30646646016483, 149.54789715236518]","[42.25145147014849, 129.63428130359068, 26.48472520017696, 60.89810463326523]"
stars-2363.png,"[24.76479527963919, 57.87580431382983, 17.869548299653225, 70.21739359175764, 52.663848765417754]","[25.407308684712742, 113.8155368679969, 66.59803040052098, 21.81019778276317, 6.052957583360046, 17.869548299653225, 156.07749411698674]"
stars-1500.png,"[85.11952497206163, 86.39153114743367, 55.16631335062471, 100.36388803692114, 105.88133980029774, 141.46736241549496]","[163.6075148895014, 47.176986584227826, 100.36388803692114, 48.85161048934965, 17.03949772324802, 33.690067525979785, 129.98247980944865, 179.2879549413237]"
stars-324.png,"[85.41993559495495, 0.7048742446200762, 24.99257971726806, 10.76782655984782, 67.61573797751043, 67.82564136977072]","[66.00036118418734, 92.6942842898561, 130.42298885283938, 70.88236567311716, 147.84817101098758, 158.51757267979934, 1.4524074619552183, 12.121809130767042]"
stars-1540.png,"[56.04922804326724, 1.6045198739264706, 177.84777034868236, 29.454288119082552, 115.03486580483587]","[22.046049837059424, 115.46470375242868, 65.69670618525934, 27.72194773010989, 166.256632362738, 1.9523536806607875, 11.791013956601054]"
stars-979.png,"[84.10131151099407, 5.552653032317978, 50.462008675033964, 28.997294990524924, 17.870399093940495, 42.11084081192143]","[72.0145808793563, 174.8055710922652, 55.87588184188081, 57.30396618649771, 158.44485089839534, 0.621456757722565, 161.62415974062753, 3.800765599955336]"
stars-1025.png,"[16.81245815608465, 2.607119871322375, 127.8306080145604, 57.38455157626841, 125.7425996478764, 69.08397846673029]","[13.820121419823792, 126.19439966565743, 113.37349863620166, 26.64102244927956, 51.82799261718254, 92.81263208267154, 28.31116775791082, 69.29580722339983]"
stars-1681.png,"[35.949170156486986, 41.27534775833659, 24.5070573486721, 87.72627159206773, 49.3288427572154, 30.600005995648154]","[111.13847948992507, 72.46869516459094, 121.54342884379919, 54.849396501684815, 16.87918546525417, 1.7876465793418757, 12.307746640863446, 6.359085403732413]"
stars-362.png,"[6.245140297439742, 78.23530402899016, 29.51415310736247, 90.27580496095351, 100.92954995346246, 89.59143348499684]","[69.04863506839197, 135.89111141310937, 115.10585889138915, 39.9543946271095, 108.21530950326404, 29.100674217193166, 69.17932520754081, 9.935310078530028]"
stars-403.png,"[43.09862747548685, 71.44976677748234, 101.57030949825332]","[57.08138297372693, 139.3110995072626, 101.57030949825332, 62.03720802075716]"
