image_name,angles,polygon_angles
stars-1032.png,"[18.934718292884618, 2.709361999477142, 61.39952375673339, 116.82834187298778, 110.8244627791306, 144.74039918336217]","[48.14204765596079, 144.74039918336217, 110.8244627791306, 56.293090381546456, 13.654859425381748, 8.483669568827702, 157.86147100579055, 0]"
stars-2307.png,"[48.74178961869467, 53.68128227426633, 115.83161958991825, 42.28869041750335, 70.08914536856963, 175.37798260394837]","[39.127174532812575, 62.75359369971669, 175.37798260394837, 82.74124916352238, 50.79542064275406, 46.678955885650524, 82.52562347159541, 0]"
stars-2254.png,"[74.12640328394154, 44.14654403093518, 93.7099121353181, 77.5295382783311, 3.5486819739044524, 162.4150745581691]","[70.3175248711257, 117.44479136244361, 141.0440070111265, 31.19367675530419, 28.820232604788952, 51.92049228380698, 99.2592751114041, 0]"
stars-1289.png,"[22.883117088274062, 31.647553387912552, 6.624105537053139]","[76.75579575090231, 51.793145458317234, 159.53387395088785, 71.9171848398926, 0, 0, 0, 0]"
stars-1269.png,"[2.203103490539587, 15.608789605502132, 38.68493696520979, 95.28483513141772, 105.47283174449962]","[59.98424417455221, 103.15698660196281, 141.22962023719253, 55.629148986292456, 17.730187700308758, 57.71389758307689, 104.55591471661434, 0]"
stars-039.png,"[20.01257615861562, 164.33449802726952]","[24.828834617886212, 23.25916406209273, 131.91200132002106, 0, 0, 0, 0, 0]"
stars-591.png,"[117.1123096071351, 16.413408767649408, 19.456333385425257, 70.83154286672868, 40.96039467732009]","[66.14424272749427, 80.36237192921025, 167.28786514487004, 46.20552019842544, 54.10487284170723, 91.47352376305594, 34.42160339523684, 0]"
stars-651.png,"[22.95355556777392, 24.43660759390475, 66.40394303043036, 33.10154829698778, 22.848641704830555, 165.2114647688498]","[49.526352367922016, 109.57248133863114, 150.68379168933473, 50.217374604112095, 94.47483369659581, 30.66625748804848, 54.858908815355704, 0]"
stars-376.png,"[6.685835678287291, 5.770087561544793, 25.80594701973701, 169.2438034492842, 36.7691980313172, 115.79581665597576]","[59.960409397700566, 90.0305129937939, 171.50938363253616, 38.49969397596935, 47.82330271392474, 89.42491629206832, 122.756279704023, 99.99550128998396]"
stars-2415.png,"[23.202927704591907, 14.057078295922004, 60.19149459797664, 5.40089994076763, 71.47145727664984, 55.03046795124423]","[59.110944572292155, 85.06078445787381, 147.38803212139243, 68.44023884844161, 81.6924431339245, 47.74785467855905, 99.52764204272418, 131.03206014479227]"
stars-1386.png,[],"[0, 0, 0, 0, 0, 0, 0, 0]"
stars-1516.png,"[141.71798442038298, 32.488457566906, 39.85486307237286, 49.783256343519035, 58.166146649394854]","[22.907423650417233, 169.4271655431648, 151.63739090191302, 16.028019904504966, 80.1806993612421, 17.486104900572084, 82.33319573818584, 0]"
stars-1403.png,"[15.95517077895844, 49.109722771049896, 57.52574691370967, 91.06364277811335, 64.64237340850006, 82.12048794222603]","[25.18846964644538, 156.55547203746914, 142.70545183523808, 35.550606480847456, 40.09301921199238, 44.68096778959422, 126.08945604177362, 149.1365569566398]"
stars-506.png,"[2.280995853956276, 33.68018047335269, 173.6752283506423]","[67.99194330814788, 84.65264786785714, 33.68018047335269, 173.6752283506423, 0, 0, 0, 0]"
stars-351.png,"[45.41696879597109, 59.97644743121101, 5.182655641243459, 65.0789759669076, 81.4316015807246, 41.14882611656055]","[64.32042529878282, 89.46657194817432, 147.90144198646058, 58.311560766582275, 56.82762496575982, 158.40090796044086, 38.85477934471599, 105.91668772908334]"
stars-960.png,"[49.13732802649759, 96.72853622661927, 109.15561244543967, 58.678149508602914, 16.407098751856775, 95.58188204398472]","[59.266616683848106, 106.73790313904226, 125.85114701420615, 68.1443331629035, 94.3640149291487, 71.4015051526151, 97.50594369161695, 96.72853622661927]"
